date,MAB_ELE_PRO156,MAB_ELE_SHP156,MAB_ELE_PRO250,MAB_ELE_SHP250,MAB_ELE_PRO276,MAB_ELE_SHP276,MAB_ELE_PRO380,MAB_ELE_SHP380,MAB_ELE_PRO392,MAB_ELE_SHP392,MAB_ELE_PRO756,MAB_ELE_SHP756,MAB_ELE_PRO826,MAB_ELE_SHP826,MAB_ELE_PRO840,MAB_ELE_SHP840,MAB_ELE_PRO1100,MAB_ELE_SHP1100,RohiBASEMET1000_org,RohiENERGY1000_org,RohiMETMIN1000_org,RohiNATGAS1000_org,RohCRUDE_PETRO1000_org,RohCOPPER1000_org,WKLWEUR840_org,PRI27840_org,PRI27826_org,PRI27380_org,PRI27250_org,PRI27276_org,PRI27156_org,PRO28840_org,PRO281000_org,PRO28756_org,PRO28826_org,PRO28380_org,PRO28392_org,PRO28250_org,PRO28276_org,PRO27840_org,PRO271000_org,PRO27756_org,PRO27826_org,PRO27380_org,PRO27392_org,PRO27250_org,PRO27276_org,Mapped_GCK,Sales_EUR
2018-10,211.95575520716898,211.95575520716898,108.280607983292,122.45173385667506,124.22787901639767,137.74195311854245,118.35051391169598,122.45689392908128,125.20995688776168,124.7932500344297,109.07778107179439,104.59478084947575,113.65932183788875,112.31802997846748,111.90254008123298,127.80883943812468,124.39196727078162,130.98925277256873,86.10258604245291,100.22216927104898,79.35498638731923,89.5707956167827,97.07226401539515,82.54508219135586,1.1483999490737915,110.70040893554688,111.4636688232422,105.2978363037109,102.0647430419922,109.1196136474609,96.31832944091008,111.42263793945312,131.34011840820312,106.81693668310245,110.89345030235927,129.3892211914063,131.50378627304292,114.7208099365234,127.4611358642578,112.85325622558594,129.32577514648438,112.97084318360915,118.67079133818979,93.00151062011719,112.3767738760491,97.84954071044922,118.2982330322266,#36,6474.6
2018-11,220.51965526454364,220.51965526454364,99.63691135445414,115.95820990880325,127.40413161341596,142.7321928919857,107.71926030710212,120.13203247194745,122.62469506319799,123.2898884480816,112.24149121251496,107.65623845860024,115.0884168640642,112.80101099206071,110.88040110187232,117.67587388309826,123.07009082277395,132.9341300308063,83.84137392877682,84.4368070893486,77.50087473855753,97.3624678921418,78.84116672898655,82.23093896077806,1.1367000341415405,110.99402618408203,111.6683731079102,105.2978363037109,102.0647430419922,109.2248382568359,95.37011753317653,109.73712921142578,129.97645568847656,110.79283086796589,112.11992164210886,117.9901733398438,127.88075497763774,104.8731002807617,132.9879150390625,113.14529418945312,128.23617553710938,114.73601260835304,120.46701925955492,84.1333999633789,111.90753470288143,91.15596008300781,117.1637268066406,#36,22356.17
2018-12,241.84685426664612,241.84685426664612,94.69031212695867,115.12846857656872,120.51856496078673,141.40766055891257,88.78318142991722,131.9360987883683,122.99195639275275,124.50841279239916,115.40520135323553,110.71769606772472,101.55610752537221,94.50373333163192,106.25779649800235,123.28013378640512,113.85800458695134,131.26134849624697,82.73338904107311,74.8987464762251,76.07170463079584,94.4065778513486,68.26856416201304,80.63036128406985,1.1383999586105347,111.1622314453125,112.7942657470703,105.2978363037109,102.1667098999023,109.3300628662109,94.99488496057165,103.44828033447266,124.20246887207031,114.76872505282931,99.44638446469637,99.19173431396484,128.12567937720434,104.9746170043945,137.36328125,111.82362365722656,117.04354858398438,116.50118203309694,105.37870472008781,64.8812484741211,112.52424229408744,78.03302764892578,89.6261215209961,#36,13924.52
2019-01,175.66814701623522,175.66814701623522,90.14377464335027,108.32515444781708,104.77632556072642,118.70382759925366,99.27511253655656,92.41884168976458,105.51402415433354,106.3039461086945,109.6217883777066,105.1644272028445,101.7997542697059,99.6592103487257,107.51080834757134,111.04375462185241,106.41800196207335,113.05756469373323,81.25109257843613,76.2047708694399,75.77415348892652,80.0553660620669,71.58752635595322,78.82247827311473,1.1416000127792358,111.38605499267578,112.0777893066406,105.5059356689453,102.7784881591797,109.7509613037109,94.95013411787869,106.50684356689453,112.17539978027344,109.19621194333568,98.83314879482158,106.9910888671875,110.20094120678866,95.22843170166016,104.4329299926758,109.49972534179688,111.52220153808594,110.35460992907802,107.17493264145294,81.55634307861328,95.95735195798586,81.90825653076172,105.4060974121094,#36,15444.39
2019-02,175.66814701623522,175.66814701623522,92.55152060075272,108.94465624025868,109.59701151276217,122.6869965413091,104.58668411028252,103.21421238872134,114.46664721673818,114.99630178967308,103.83837540217768,99.61115833796426,103.49576786665419,100.58945883679516,109.81760803998212,116.73692110885848,110.42959034865832,117.70472732719429,84.68173946384732,80.0860391875573,80.11719819834883,69.545041682087,77.34404909385461,83.61876987001003,1.13510000705719,111.56114196777344,111.36131286621091,105.2978363037109,102.6765289306641,109.8561935424805,94.71220436299139,109.30371856689453,116.6032943725586,103.62369883384206,99.54859040967551,113.7905197143555,117.97653190274451,100.1015243530273,112.8382263183594,110.83565521240234,112.6667251586914,104.20803782505911,110.64763995609222,83.45123291015625,107.30995615185736,80.32292938232422,103.6527709960938,#36,8051.15
2019-03,261.6428015887835,261.6428015887835,107.86178777348721,126.96621589643503,122.53464783785472,140.11621350624793,114.29954914087737,122.45431788325496,141.6377167966329,146.09676800137896,98.05496242664876,94.05788947308402,120.75476769663521,118.18413109881965,111.66405707184597,133.231663558601,123.69391307151355,135.85907653418678,86.16782754337271,82.2232008944792,81.09669812297182,67.9121107528877,80.70096638277008,85.4631502989664,1.1302000284194946,111.92424011230469,111.05425262451172,105.5059356689453,102.8804473876953,109.9614181518555,94.4345911395054,111.95256805419922,137.50462341308594,98.05118572434844,117.74124861596118,125.3895568847656,146.63374570824828,117.3604049682617,128.612548828125,111.09249877929688,131.4561767578125,98.0614657210402,126.21494860792335,88.8327407836914,131.45076233223213,92.47706604003906,111.388053894043,#36,7373.419999999999
2019-04,219.5958129851704,219.5958129851704,98.67784377162845,114.91743241004696,110.61241421742044,127.51200606287358,99.73296912808776,106.27980407830448,107.15065267514242,104.72228145720284,97.08893227667681,93.31589203300774,106.69116359128024,103.93437452788436,109.27637907145598,125.21441449945448,111.92559499789277,121.96608798534596,85.63514130188692,86.4267320163874,81.59938825982671,62.4860657981163,86.76112988047286,85.4485513317659,1.1238000392913818,111.38450622558594,112.0777893066406,105.7140350341797,103.1863403320313,110.171875,93.85895922076153,109.16854095458984,121.49242401123047,97.9885732175002,102.92138659398691,110.0908279418945,110.01588878497716,106.8020324707031,115.0259094238281,109.4900131225586,119.41561889648438,95.5397951142632,113.52160463027641,75.94744873046875,101.30840670399057,85.51925659179688,102.5182647705078,#36,4772.95
2019-05,234.16919637372646,234.16919637372646,94.77955026298683,110.8144962984979,115.71233315762302,131.99363437328986,118.00628648032655,123.26163861741064,108.94092597849968,108.49239166874624,96.12290212670486,92.57389459293145,109.71969928939492,106.8994145329881,110.06370651589471,129.91224913492672,117.90103134347841,127.69580444271897,80.97121594064892,85.1757727223883,78.64918879651992,59.42233533269711,84.55551713913766,79.86829519620431,1.118499994277954,111.61335754394531,112.2825012207031,105.7140350341797,102.7784881591797,110.0666427612305,94.49063182291835,109.19413757324219,124.61112213134766,97.92596071065196,105.37432927348608,129.4892120361328,112.39749439067937,101.4213180541992,120.2072601318359,111.786376953125,122.78617095947266,93.0181245074862,117.59305458537072,91.63719177246094,101.89294734569083,84.02201080322266,107.4688415527344,#36,16905.32
2019-06,261.1263504070176,261.1263504070176,98.97810482760501,122.04555481865556,108.91745457505206,126.7695567170754,108.23188793677132,121.31200439440343,117.74757425479079,118.46080607400637,95.15687197673294,91.83189715285519,111.54695773991851,108.95867668922129,111.71756874558031,133.7283409960749,114.3253185473292,126.61249532624144,79.41865475444601,76.3392715732818,78.52608899237563,52.9625288761405,75.60654919054667,78.06771166884941,1.1292999982833862,110.55021667480469,113.8178176879883,105.5059356689453,102.4726028442383,110.0666427612305,94.87389533373101,111.47966766357422,126.9803237915039,97.86334820380371,105.16991738352783,118.9900894165039,120.44314442025939,106.0913772583008,116.0621795654297,112.1888656616211,125.1688003540039,90.49645390070921,123.10148687755711,83.52703094482422,112.25127889361221,87.45687866210938,95.8143539428711,#36,19075.84
2019-07,217.05344658519095,217.05344658519095,100.35437226335446,107.25045799741042,117.1263313479991,132.66076569396373,114.70531239968778,123.57286202548485,118.87885598822224,119.17883431433982,97.90928803427998,94.3949248409046,110.59375610028331,107.34287695327332,103.4618908814106,119.53653571596162,116.3258178696051,123.99485281329558,80.70522325565861,77.0384216323358,81.03118419450152,52.73103815975699,77.77842406968169,78.85034902867929,1.1217999458312988,110.79561614990234,114.84135437011719,105.2978363037109,102.4726028442383,109.9614181518555,95.12711960907708,100.38681030273438,123.3802719116211,98.11379823119668,103.22800442892431,124.1896514892578,120.86415456572371,106.9035568237305,122.2797927856445,109.55381774902344,125.63995361328125,97.55713159968478,123.93972657419418,92.92572021484375,114.83081171845684,89.74678802490234,107.6751174926758,#36,33334.41
